pincode,category,status,name
toronto,schools,CLOSED_TEMPORARILY,Central Toronto Academy
toronto,schools,CLOSED_TEMPORARILY,German International School Toronto
toronto,schools,CLOSED_TEMPORARILY,City School
toronto,schools,CLOSED_TEMPORARILY,Central Technical School
toronto,schools,CLOSED_TEMPORARILY,The York School
toronto,schools,CLOSED_TEMPORARILY,Sunnybrook School
toronto,schools,CLOSED_TEMPORARILY,University of Toronto Schools (Bloor Site)
toronto,schools,CLOSED_TEMPORARILY,The Rosedale Day School
toronto,schools,CLOSED_TEMPORARILY,Inglenook Community School
toronto,schools,CLOSED_TEMPORARILY,Toronto Private High School
toronto,schools,CLOSED_TEMPORARILY,East Alternative School of Toronto
toronto,schools,CLOSED_TEMPORARILY,Greenwood College School
toronto,schools,CLOSED_TEMPORARILY,Orde Street Junior Public School
toronto,schools,CLOSED_TEMPORARILY,The York School (Junior School Campus)
toronto,schools,CLOSED_TEMPORARILY,Garden Avenue Junior Public School
toronto,schools,CLOSED_TEMPORARILY,Claremont School
toronto,schools,CLOSED_TEMPORARILY,High Park Alternative Junior School
toronto,schools,OPERATIONAL,The Claremont School
toronto,schools,CLOSED_TEMPORARILY,Spectrum Alternative School - TDSB
toronto,schools,OPERATIONAL,First Nations Junior and Senior School of Toronto
600101,schools,OPERATIONAL,Leo Matriculation Higher Secondary School
600101,schools,OPERATIONAL,SBOA School & Junior College
600101,schools,OPERATIONAL,Chennai Public School
600101,schools,OPERATIONAL,SBOA Global School
600101,schools,OPERATIONAL,SBOA Matriculation and Higher Secondary School
600101,schools,CLOSED_TEMPORARILY,CSI Ewart Matriculation Higher Secondary School
600101,schools,CLOSED_TEMPORARILY,Meenakshi Educational Trust
600101,schools,OPERATIONAL,Arise n shine Anna Nagar West | Preschool | Playschool | Kindergarten | Daycare
600101,schools,CLOSED_TEMPORARILY,The Schram Academy
600101,schools,CLOSED_TEMPORARILY,Little Einsteins
600101,schools,CLOSED_TEMPORARILY,Kutties The First Step Day Care and Play School - Anna Nagar
600101,schools,CLOSED_TEMPORARILY,Vidvattva International Pre School
600101,schools,CLOSED_TEMPORARILY,Guild of Service
600101,schools,CLOSED_TEMPORARILY,SUBODHINI NURSERY AND PRIMARY SCHOOL
600101,schools,OPERATIONAL,"MAD SCHOOL - NATA, NID, NIFT, CEED, UCEED, B ARCH Coaching Centre"
600101,schools,CLOSED_TEMPORARILY,Sarash Nath Matriculation School
600101,schools,CLOSED_TEMPORARILY,Muncipal Corporation School
600101,schools,CLOSED_TEMPORARILY,Dhana College For Higher Studies
600101,schools,CLOSED_TEMPORARILY,Jaivel Marticulation Pvt.ltd
600101,schools,CLOSED_TEMPORARILY,Villivakkam Panchayath Union Elementary School
