index,city,country,date,polarity_score
0,Mumbai,india,30-06-2020,0.0480065
1,Delhi,india,30-06-2020,0.2308694
2,Bangalore,india,30-06-2020,0.2659418
3,Hyderabad,india,30-06-2020,0.356704
4,Ahmedabad,india,30-06-2020,0.013126471
5,Chennai,india,30-06-2020,0.1097523
6,Kolkata,india,30-06-2020,-0.009918904
7,Surat,india,30-06-2020,0.0
8,Pune,india,30-06-2020,0.306319916
9,Jaipur,india,30-06-2020,0.353068919
10,Visakhapatnam,india,30-06-2020,0.476153333
11,Nagpur,india,30-06-2020,0.13085
12,Lucknow,india,30-06-2020,0.147662914
13,Kanpur,india,30-06-2020,-0.288031373
14,Thane,india,30-06-2020,0.0479077
15,Bhopal,india,30-06-2020,0.14472973
16,Indore,india,30-06-2020,0.312656522
17,Pimpri-Chinchwad,india,30-06-2020,0.306319916
18,Patna,india,30-06-2020,-0.013964228
19,Vadodara,india,30-06-2020,0.067585714
20,Toronto,canada,30-06-2020,0.1086144
21,Montreal,canada,30-06-2020,-0.0940545
22,Calgary,canada,30-06-2020,0.263835417
23,Ottawa,canada,30-06-2020,0.072451462
24,Edmonton,canada,30-06-2020,0.110205645
25,Mississauga,canada,30-06-2020,0.1097108
26,North York,canada,30-06-2020,0.1133519
27,Winnipeg,canada,30-06-2020,0.138917857
28,Scarborough,canada,30-06-2020,0.0
29,Vancouver,canada,30-06-2020,-0.032139632
30,Quebec,canada,30-06-2020,0.0
31,Hamilton,canada,30-06-2020,0.118532491
32,Brampton,canada,30-06-2020,0.113167188
33,Surrey,canada,30-06-2020,0.101538462
34,Laval,canada,30-06-2020,0.0
35,Halifax,canada,30-06-2020,0.31177
36,Etobicoke,canada,30-06-2020,0.1128767
37,London,canada,30-06-2020,0.0328735
38,Okanagan,canada,30-06-2020,0.167130435
39,Victoria,canada,30-06-2020,0.0
40,New York,us,30-06-2020,-0.105569
41,Los Angeles,us,30-06-2020,-0.0009845
42,Chicago,us,30-06-2020,-0.0556094
43,Houston,us,30-06-2020,-0.0071018
44,Phoenix,us,30-06-2020,-0.003884025
45,Philadelphia,us,30-06-2020,0.046649169
46,San Antonio,us,30-06-2020,0.137864555
47,San Diego,us,30-06-2020,0.1855537
48,Dallas,us,30-06-2020,-0.028974889
49,San Jose,us,30-06-2020,0.111693349
50,Austin,us,30-06-2020,0.0364684
51,Fort Worth,us,30-06-2020,0.083045946
52,Jacksonville,us,30-06-2020,0.041694615
53,Columbus,us,30-06-2020,0.028723022
54,Charlotte,us,30-06-2020,0.0
55,San Francisco,us,30-06-2020,0.0711162
56,Indianapolis,us,30-06-2020,0.209112963
57,Seattle,us,30-06-2020,0.097031478
58,Denver,us,30-06-2020,0.087414092
59,Washington,us,30-06-2020,0.0195805
60,Boston,us,30-06-2020,-0.055794
61,El Paso,us,30-06-2020,-0.117363158
62,Nashville,us,30-06-2020,-0.044614344
63,Detroit,us,30-06-2020,0.048334975
64,Portland,us,30-06-2020,0.0019658
65,Las Vegas,us,30-06-2020,-0.122651747
66,Oklahoma City,us,30-06-2020,0.030528
67,Memphis,us,30-06-2020,-0.002825
68,Louisville,us,30-06-2020,0.013881633
69,Baltimore,us,30-06-2020,0.148643953
70,Milwaukee,us,30-06-2020,0.213571429
71,Albuquerque,us,30-06-2020,-0.094308333
72,Tucson,us,30-06-2020,-0.023868421
73,Fresno,us,30-06-2020,0.298355556
74,Mesa,us,30-06-2020,-0.004675957
75,Atlanta,us,30-06-2020,0.035667127
76,Sacramento,us,30-06-2020,-0.082791795
77,Kansas City,us,30-06-2020,0.181176214
78,Miami,us,30-06-2020,-0.0076976
79,Colorado Springs,us,30-06-2020,-0.066528358
80,Raleigh,us,30-06-2020,0.069799048
81,Omaha,us,30-06-2020,0.0
82,Long Beach,us,30-06-2020,0.110018719
83,Virginia Beach,us,30-06-2020,0.330308434
84,Minneapolis,us,30-06-2020,0.134817352
85,Oakland,us,30-06-2020,0.0655047
86,Tampa,us,30-06-2020,0.043075955
87,Arlington,us,30-06-2020,-0.026879603
88,Tulsa,us,30-06-2020,0.036402703
89,Bakersfield,us,30-06-2020,0.26
90,Mumbai,india,02-07-2020,0.2209549
91,Delhi,india,02-07-2020,0.0883417
92,Bangalore,india,02-07-2020,0.0325649
93,Hyderabad,india,02-07-2020,0.0153522
94,Ahmedabad,india,02-07-2020,0.049049153
95,Chennai,india,02-07-2020,-0.2958967
96,Kolkata,india,02-07-2020,0.050269231
97,Surat,india,02-07-2020,0.0
98,Pune,india,02-07-2020,0.310463851
99,Jaipur,india,02-07-2020,0.345201339
100,Visakhapatnam,india,02-07-2020,0.37445
101,Nagpur,india,02-07-2020,0.190890476
102,Lucknow,india,02-07-2020,0.428878723
103,Kanpur,india,02-07-2020,-0.223188372
104,Thane,india,02-07-2020,0.2270468
105,Bhopal,india,02-07-2020,0.009773077
106,Indore,india,02-07-2020,0.260957895
107,Pimpri-Chinchwad,india,02-07-2020,0.313724538
108,Patna,india,02-07-2020,-0.028892373
109,Vadodara,india,02-07-2020,0.144395238
110,Toronto,canada,02-07-2020,0.1370956
111,Montreal,canada,02-07-2020,-0.0407002
112,Calgary,canada,02-07-2020,0.190345238
113,Ottawa,canada,02-07-2020,0.104857631
114,Edmonton,canada,02-07-2020,0.156283486
115,Mississauga,canada,02-07-2020,0.138354
116,North York,canada,02-07-2020,0.1425953
117,Winnipeg,canada,02-07-2020,0.174224324
118,Scarborough,canada,02-07-2020,0.7845
119,Vancouver,canada,02-07-2020,-0.024147368
120,Quebec,canada,02-07-2020,0.0
121,Hamilton,canada,02-07-2020,0.124715065
122,Brampton,canada,02-07-2020,0.103028333
123,Surrey,canada,02-07-2020,0.128186076
124,Laval,canada,02-07-2020,0.0
125,Halifax,canada,02-07-2020,0.098449057
126,Etobicoke,canada,02-07-2020,0.140897
127,London,canada,02-07-2020,0.0731994
128,Okanagan,canada,02-07-2020,0.2503625
129,Victoria,canada,02-07-2020,0.0
130,New York,us,02-07-2020,0.3030479
