city,country,date,polarity_score
Mumbai,india,30-06-2020,0.0480065
Delhi,india,30-06-2020,0.2308694
Bangalore,india,30-06-2020,0.26594179999999995
Hyderabad,india,30-06-2020,0.356704
Ahmedabad,india,30-06-2020,0.013126471
Chennai,india,30-06-2020,0.1097523
Kolkata,india,30-06-2020,-0.009918904
Surat,india,30-06-2020,0.0
Pune,india,30-06-2020,0.306319916
Jaipur,india,30-06-2020,0.353068919
Visakhapatnam,india,30-06-2020,0.476153333
Nagpur,india,30-06-2020,0.13085
Lucknow,india,30-06-2020,0.147662914
Kanpur,india,30-06-2020,-0.28803137300000003
Thane,india,30-06-2020,0.0479077
Bhopal,india,30-06-2020,0.14472973
Indore,india,30-06-2020,0.312656522
Pimpri-Chinchwad,india,30-06-2020,0.306319916
Patna,india,30-06-2020,-0.013964228
Vadodara,india,30-06-2020,0.067585714
Toronto,canada,30-06-2020,0.1086144
Montreal,canada,30-06-2020,-0.0940545
Calgary,canada,30-06-2020,0.263835417
Ottawa,canada,30-06-2020,0.07245146200000001
Edmonton,canada,30-06-2020,0.110205645
Mississauga,canada,30-06-2020,0.1097108
North York,canada,30-06-2020,0.1133519
Winnipeg,canada,30-06-2020,0.138917857
Scarborough,canada,30-06-2020,0.0
Vancouver,canada,30-06-2020,-0.032139632
Quebec,canada,30-06-2020,0.0
Hamilton,canada,30-06-2020,0.118532491
Brampton,canada,30-06-2020,0.113167188
Surrey,canada,30-06-2020,0.101538462
Laval,canada,30-06-2020,0.0
Halifax,canada,30-06-2020,0.31177
Etobicoke,canada,30-06-2020,0.1128767
London,canada,30-06-2020,0.0328735
Okanagan,canada,30-06-2020,0.167130435
Victoria,canada,30-06-2020,0.0
New York,us,30-06-2020,-0.105569
Los Angeles,us,30-06-2020,-0.0009845
Chicago,us,30-06-2020,-0.0556094
Houston,us,30-06-2020,-0.0071018
Phoenix,us,30-06-2020,-0.003884025
Philadelphia,us,30-06-2020,0.046649169
San Antonio,us,30-06-2020,0.137864555
San Diego,us,30-06-2020,0.1855537
Dallas,us,30-06-2020,-0.028974889
San Jose,us,30-06-2020,0.111693349
Austin,us,30-06-2020,0.036468400000000005
Fort Worth,us,30-06-2020,0.083045946
Jacksonville,us,30-06-2020,0.041694615
Columbus,us,30-06-2020,0.028723022
Charlotte,us,30-06-2020,0.0
San Francisco,us,30-06-2020,0.07111619999999999
Indianapolis,us,30-06-2020,0.209112963
Seattle,us,30-06-2020,0.097031478
Denver,us,30-06-2020,0.087414092
Washington,us,30-06-2020,0.0195805
